strategy_types,lookback_period,rsi_window,ma_window,rebalance_period,num_stocks,portfolio_type,combine_method,Total Return,Annual Return,Volatility,Sharpe Ratio,Max Drawdown,strategy_name
"['momentum', 'rsi', 'ma_crossover']",63,10,100,10,10,long_short,or,0.14086200523591397,0.022880168127295875,0.021977259401687276,1.041083772508017,-0.029808150637378295,"momentum, rsi, ma_crossover (OR)"
"['rsi', 'ma_crossover']",252,10,100,42,10,long,or,0.9551243532288507,0.12197612074332209,0.11733982032620223,1.0395117395290963,-0.16310844726870133,"rsi, ma_crossover (OR)"
"['rsi', 'ma_crossover']",252,21,100,42,10,long,or,0.8521188445927599,0.11160016807510509,0.10870009592593727,1.0266795730442022,-0.17772672565937375,"rsi, ma_crossover (OR)"
"['rsi', 'ma_crossover']",252,21,20,42,3,long_short,and,0.8987285012671702,0.11009582021885533,0.10746040283882494,1.0245245440218862,-0.1535141738638337,"rsi, ma_crossover (AND)"
"['rsi', 'ma_crossover']",252,21,20,21,5,long_short,and,0.45593063293211267,0.06310204362732508,0.061678439051548066,1.0230810733486175,-0.09259432003289392,"rsi, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",63,21,100,21,10,long,or,0.9723184328770342,0.12366378620530694,0.1209730791372933,1.0222421970838647,-0.20672278657818033,"momentum, rsi, ma_crossover (OR)"
"['rsi', 'ma_crossover']",252,21,20,42,5,long_short,and,0.8999997573163396,0.11021685750752397,0.10805355116235137,1.020020687167627,-0.15803351314049208,"rsi, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",63,10,100,42,10,long,or,0.9762653085880091,0.12404946665899441,0.12203469612897636,1.0165098172399158,-0.1706019516212579,"momentum, rsi, ma_crossover (OR)"
"['momentum', 'ma_crossover']",21,14,20,42,5,long,and,2.978878406694392,0.2522717119954203,0.24850310113125584,1.0151652468198935,-0.35031888056686966,"momentum, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",21,21,10,42,10,long_short,and,0.8097012912600001,0.1014457571301628,0.10076214428362894,1.0067844213855712,-0.1501648219041115,"momentum, rsi, ma_crossover (AND)"
"['rsi', 'ma_crossover']",252,21,100,10,5,long_short,or,0.20163916621375155,0.03203443273905804,0.031907231882499096,1.003986583888799,-0.048872539029251705,"rsi, ma_crossover (OR)"
"['rsi', 'ma_crossover']",252,10,100,10,10,long_short,or,0.13695712534003412,0.0222783152922561,0.022238193995313238,1.0018041616577011,-0.029930705287142367,"rsi, ma_crossover (OR)"
"['rsi', 'ma_crossover']",252,21,20,21,5,long,and,1.8672606772533022,0.18718811555419257,0.18697647576052984,1.0011319059940662,-0.32246411771161765,"rsi, ma_crossover (AND)"
"['rsi', 'ma_crossover']",252,14,20,42,10,long_short,and,0.5358394185376876,0.07234705744101966,0.07241419554946901,0.9990728598455052,-0.08682901318097691,"rsi, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",63,21,100,42,10,long,or,0.8796756077021579,0.1144219412995866,0.11508210939456119,0.994263503697945,-0.18367971225646307,"momentum, rsi, ma_crossover (OR)"
"['rsi', 'ma_crossover']",252,21,20,21,3,long_short,and,0.49987902210599455,0.06826461477778145,0.06880735546858768,0.9921121704633161,-0.11068210504964016,"rsi, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",21,5,10,42,10,long_short,and,0.4309388638040752,0.06010782463030817,0.060862249208416465,0.9876043920834269,-0.09941246367724443,"momentum, rsi, ma_crossover (AND)"
"['rsi', 'ma_crossover']",252,21,20,42,10,long_short,and,0.6103042867845945,0.0806982850518585,0.08198215356867233,0.9843396585607086,-0.12006557079230551,"rsi, ma_crossover (AND)"
"['momentum', 'ma_crossover']",21,14,20,42,10,long,and,2.266922091729912,0.2126936768686145,0.2161645620247313,0.9839433202019502,-0.3067167009423013,"momentum, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",63,10,100,21,10,long,or,0.9051760810358933,0.11700278961744859,0.11929406044868078,0.9807930854007784,-0.18789640871463897,"momentum, rsi, ma_crossover (OR)"
"['momentum', 'rsi', 'ma_crossover']",21,5,10,42,5,long_short,and,0.5507727726913547,0.0740871490359325,0.07556012216291957,0.9805059456652133,-0.12078908845382919,"momentum, rsi, ma_crossover (AND)"
"['rsi', 'ma_crossover']",252,21,20,21,3,long,and,1.9168589073761804,0.19050940028908436,0.1943819420408897,0.9800776671374611,-0.3241949712289276,"rsi, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",63,21,100,10,10,long_short,or,0.16514018501145178,0.026584303592120717,0.027147272564072865,0.979262411329778,-0.02878879494497566,"momentum, rsi, ma_crossover (OR)"
"['rsi', 'ma_crossover']",252,14,20,42,3,long_short,and,0.7196571558493532,0.09226431822666914,0.09431459308073624,0.9782613189847301,-0.13144038067641994,"rsi, ma_crossover (AND)"
"['rsi', 'ma_crossover']",252,21,100,21,10,long,or,0.903342115613031,0.1168181359315501,0.11954674350393807,0.9771753918809334,-0.2071710970609537,"rsi, ma_crossover (OR)"
"['momentum', 'rsi', 'ma_crossover']",21,5,10,42,3,long_short,and,0.5908158659138727,0.07855690330380471,0.0804511205883961,0.976455054065902,-0.1258343468331118,"momentum, rsi, ma_crossover (AND)"
"['rsi', 'ma_crossover']",252,21,20,42,3,long,and,2.2265805217167394,0.21024161593200952,0.21543475167049436,0.9758946237864738,-0.3213082284008346,"rsi, ma_crossover (AND)"
"['rsi', 'ma_crossover']",252,21,20,42,5,long,and,2.164778154353081,0.20643487044348197,0.21286241551107474,0.9698042275233959,-0.3398692404965985,"rsi, ma_crossover (AND)"
"['rsi', 'ma_crossover']",252,21,100,10,10,long_short,or,0.17671553907186155,0.028327897475007857,0.029328382779285612,0.9658867891964235,-0.04032303604129628,"rsi, ma_crossover (OR)"
"['momentum', 'ma_crossover']",21,14,10,21,3,long,and,2.0698558000205027,0.20046508837805055,0.20778298106736026,0.9647810775852842,-0.29361235728963964,"momentum, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",63,21,100,10,5,long_short,or,0.187810013444472,0.029985772756805584,0.031094178743410396,0.9643532638134169,-0.04879786355217797,"momentum, rsi, ma_crossover (OR)"
"['rsi', 'ma_crossover']",252,14,20,42,5,long_short,and,0.6714408348436747,0.0872192689676925,0.09049324891728196,0.9638207270844907,-0.12713645145387298,"rsi, ma_crossover (AND)"
"['momentum', 'ma_crossover']",21,14,20,42,3,long,and,2.921165320501176,0.24929474105028326,0.2587749013618844,0.9633652249050861,-0.3611345194256126,"momentum, ma_crossover (AND)"
"['rsi', 'ma_crossover']",252,21,20,21,10,long,and,1.374199942392504,0.15125157486747143,0.15748100237720056,0.9604433079819474,-0.28174812342018807,"rsi, ma_crossover (AND)"
"['momentum', 'ma_crossover']",21,14,10,42,5,long,and,2.8925604106098053,0.24780561817934466,0.25820313601988465,0.9597312488112489,-0.3792233504043474,"momentum, ma_crossover (AND)"
"['rsi', 'ma_crossover']",252,14,20,21,5,long_short,and,0.34755121861625415,0.04975696956364706,0.05191759591582583,0.9583835438820819,-0.07823732936673888,"rsi, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",21,21,10,42,5,long_short,and,0.8532531708871565,0.10572080164633402,0.1105178359961127,0.9565949305237264,-0.1747346343060029,"momentum, rsi, ma_crossover (AND)"
"['rsi', 'ma_crossover']",252,10,100,21,10,long,or,0.8537829662477441,0.11177155502710634,0.11686378824233751,0.9564259100973902,-0.18562163084704397,"rsi, ma_crossover (OR)"
"['momentum', 'ma_crossover']",21,14,10,42,10,long_short,and,0.7843431524741653,0.09891677701077728,0.10363429007085616,0.9544792263559344,-0.19747642983580416,"momentum, ma_crossover (AND)"
"['rsi', 'ma_crossover']",252,21,20,42,10,long,and,1.720642272905025,0.17708061559154942,0.18574365239608787,0.9533602538079471,-0.2942346658999424,"rsi, ma_crossover (AND)"
